[000] 19062.524343:          1                0 
[000] 19062.524350:          1                0 
[000] 19062.524353:          1                0 
[000] 19062.524367:        154                0 
[001] 19062.524383:          1                0 
[002] 19062.524391:          1                0 
[001] 19062.524392:          1                0 
[001] 19062.524394:          1                0 
[003] 19062.524398:          1                0 
[001] 19062.524401:        122                0 
[003] 19062.524402:          1                0 
[002] 19062.524403:          1                0 
[003] 19062.524405:          1                0 
[002] 19062.524408:          1                0 
[002] 19062.524424:        101                0 
[003] 19062.524453:        240                0 
[002] 19062.533222:      24710                0 
[000] 19062.533641:      52858                0 
[001] 19062.534581:      66652                0 
[003] 19062.551309:     120905                0 
[002] 19062.654637:     125036                0 
[002] 19062.671042:      96192                0 
[002] 19062.690713:      87505                0 
[000] 19062.694233:     393758                0 
[002] 19062.701859:      66368                0 
[000] 19062.704437:      67637                0 
[001] 19062.721061:      75472                0 
[000] 19062.722622:      64797                0 
[002] 19062.723481:      56818                0 
[003] 19062.724687:     135125                0 
[002] 19062.733334:      46625                0 
[001] 19062.736521:      62407                0 
[000] 19062.739306:      54199                0 
[002] 19062.741623:      42231                0 
[003] 19062.748102:     119207                0 
[002] 19062.751194:      45283                0 
[001] 19062.751568:      49855                0 
[000] 19062.752602:      45921                0 
[000] 19062.756137:      39599                0 
[002] 19062.759099:      46495                0 
[001] 19062.759249:      56422                0 
[003] 19062.764392:     105677                0 
[000] 19062.765049:      47163                0 
[002] 19062.767567:      49222                0 
[001] 19062.773594:      59342                0 
[002] 19062.775269:      51398                0 
[000] 19062.776412:      55676                0 
[003] 19062.779719:      86532                0 
[001] 19062.780651:      53600                0 
[002] 19062.785738:      49730                0 
[000] 19062.788518:      54242                0 
[003] 19062.792085:      74711                0 
[001] 19062.793243:      57809                0 
[002] 19062.799722:      52389                0 
[000] 19062.801635:      50641                0 
[002] 19062.804285:      46196                0 
[003] 19062.807424:      69213                0 
[001] 19062.807868:      55338                0 
[002] 19062.811385:      53606                0 
[001] 19062.812772:      48363                0 
[000] 19062.813376:      48866                0 
[003] 19062.822236:      57770                0 
[002] 19062.824393:      65377                0 
[001] 19062.831126:      56248                0 
[003] 19062.833316:      50606                0 
[000] 19062.835715:      53726                0 
[002] 19062.841128:      68888                0 
[003] 19062.844388:      48460                0 
[001] 19062.845941:      50854                0 
[000] 19062.852217:      37435                0 
[003] 19062.854390:      46666                0 
[002] 19062.854700:      69811                0 
[001] 19062.857962:      41350                0 
[000] 19062.859044:      34895                0 
[003] 19062.863713:      46666                0 
[001] 19062.866048:      40866                0 
[000] 19062.869296:      38040                0 
[002] 19062.871288:      62705                0 
[003] 19062.876076:      77670                0 
[001] 19062.876676:      42770                0 
[000] 19062.878708:      40186                0 
[002] 19062.884693:      53365                0 
[001] 19062.884716:      40788                0 
[000] 19062.889859:      39930                0 
[003] 19062.891786:      77670                0 
[002] 19062.893751:      45956                0 
[001] 19062.896369:      43535                0 
[002] 19062.901592:      45041                0 
[000] 19062.903724:      39759                0 
[001] 19062.905617:      41889                0 
[002] 19062.908885:      42540                0 
[003] 19062.910844:     102727                0 
[001] 19062.912064:      43774                0 
[000] 19062.912736:      40314                0 
[000] 19062.921386:      46797                0 
[003] 19062.923402:      84185                0 
[001] 19062.924365:      47150                0 
[002] 19062.927647:      53574                0 
[000] 19062.931443:      52464                0 
[001] 19062.937836:      47765                0 
[002] 19062.941711:      45453                0 
[000] 19062.942353:      57066                0 
[003] 19062.943506:      77189                0 
[001] 19062.951707:      43939                0 
[002] 19062.952442:      39065                0 
[000] 19062.953555:      55508                0 
[002] 19062.961147:      35942                0 
[000] 19062.961232:      79278                0 
[003] 19062.961677:      56837                0 
[001] 19062.963263:      37952                0 
[002] 19062.966909:      39679                0 
[003] 19062.971596:      45718                0 
[002] 19062.975010:      41745                0 
[001] 19062.975092:      37294                0 
[000] 19062.977179:      82934                0 
[003] 19062.981350:      44983                0 
[001] 19062.982667:      32736                0 
[002] 19062.983166:      42770                0 
[003] 19062.985010:      43887                0 
[002] 19062.990338:      44803                0 
[001] 19062.991073:      35457                0 
[000] 19062.993081:      72044                0 
[003] 19062.994034:      43887                0 
[002] 19062.994423:      53933                0 
[001] 19062.995707:      39795                0 
[002] 19063.003566:      61019                0 
[000] 19063.008349:      59917                0 
[001] 19063.010245:      45065                0 
[003] 19063.011869:      71014                0 
[002] 19063.013421:      71663                0 
[000] 19063.015685:      52066                0 
[001] 19063.021227:      46407                0 
[003] 19063.023853:      56277                0 
[000] 19063.027140:      55523                0 
[002] 19063.032305:      72880                0 
[001] 19063.033224:      53065                0 
[003] 19063.034335:      50973                0 
[000] 19063.041560:      52432                0 
[003] 19063.044502:      58897                0 
[002] 19063.047888:      54495                0 
[000] 19063.051903:      46582                0 
[001] 19063.053084:      67263                0 
[003] 19063.057714:      59809                0 
[002] 19063.061282:      46265                0 
[000] 19063.063086:      46231                0 
[001] 19063.063086:      72499                0 
[002] 19063.070971:      43286                0 
[003] 19063.073720:      62264                0 
[000] 19063.078096:      53115                0 
[001] 19063.081540:      72306                0 
[003] 19063.084238:      57244                0 
[002] 19063.091056:      44618                0 
[000] 19063.091387:      46147                0 
[003] 19063.097983:      57148                0 
[002] 19063.099764:      33974                0 
[000] 19063.101616:      40561                0 
[002] 19063.107893:      31934                0 
[003] 19063.108346:      55406                0 
[001] 19063.109966:      93510                0 
[000] 19063.111585:      37652                0 
[003] 19063.118359:      52207                0 
[000] 19063.122547:      37255                0 
[002] 19063.131113:      36888                0 
[000] 19063.131179:      40595                0 
[003] 19063.133500:      55770                0 
[002] 19063.137400:      32444                0 
[000] 19063.141229:      40595                0 
[001] 19063.142747:     101438                0 
[003] 19063.143467:      63281                0 
[002] 19063.149576:      36297                0 
[000] 19063.153516:      56652                0 
[002] 19063.157664:      35462                0 
[003] 19063.158575:      63281                0 
[002] 19063.163060:      35999                0 
[001] 19063.163880:      87488                0 
[000] 19063.165098:      57566                0 
[003] 19063.171417:      80126                0 
[002] 19063.171971:      40556                0 
[002] 19063.181161:      43520                0 
[001] 19063.181208:      68534                0 
[000] 19063.182824:      62025                0 
[003] 19063.184328:      78149                0 
[002] 19063.191071:      45082                0 
[003] 19063.193592:      65218                0 
[000] 19063.196738:      50964                0 
[001] 19063.199033:      56390                0 
[002] 19063.199899:      45836                0 
[003] 19063.202725:      66605                0 
[000] 19063.204478:      44583                0 
[001] 19063.204872:      48386                0 
[002] 19063.210238:      42394                0 
[001] 19063.211775:      44048                0 
[000] 19063.214095:      42788                0 
[003] 19063.214425:      66577                0 
[002] 19063.217788:      45220                0 
[000] 19063.222550:      53239                0 
[003] 19063.224666:      63330                0 
[001] 19063.224811:      68717                0 
[000] 19063.233521:      54178                0 
[003] 19063.240534:      60625                0 
[002] 19063.247133:      38517                0 
[001] 19063.247466:      71600                0 
[003] 19063.252044:      55607                0 
[000] 19063.255964:      54732                0 
[002] 19063.259104:      39250                0 
[003] 19063.260686:      50955                0 
[001] 19063.261437:      55964                0 
[002] 19063.261827:      36641                0 
[000] 19063.262863:      35719                0 
[002] 19063.269281:      34938                0 
[001] 19063.269651:      50046                0 
[003] 19063.270973:      58455                0 
[000] 19063.272736:      44388                0 
[002] 19063.281239:      54257                0 
[001] 19063.281579:      56091                0 
[003] 19063.281799:      62897                0 
[000] 19063.284473:      47058                0 
[002] 19063.291761:      50073                0 
[001] 19063.293563:      61988                0 
[000] 19063.294689:      44458                0 
[003] 19063.297781:      58598                0 
[002] 19063.304309:      49586                0 
[003] 19063.304692:      51070                0 
[000] 19063.304727:      42864                0 
[001] 19063.308439:      67247                0 
[002] 19063.311031:      45144                0 
[000] 19063.313383:      53180                0 
[003] 19063.320057:      49837                0 
[002] 19063.321646:      48079                0 
[000] 19063.323563:      54589                0 
[001] 19063.324361:      67247                0 
[002] 19063.331195:      49461                0 
[000] 19063.331735:      51546                0 
[003] 19063.334441:      59132                0 
[001] 19063.334520:      69676                0 
[002] 19063.344329:      50460                0 
[001] 19063.346871:      66698                0 
[000] 19063.348078:      59931                0 
[003] 19063.352246:      64353                0 
[002] 19063.353200:      43988                0 
[002] 19063.360948:      47348                0 
[001] 19063.361397:      64988                0 
[003] 19063.363713:      51346                0 
[002] 19063.370964:      50110                0 
[000] 19063.371570:      75795                0 
[001] 19063.375220:      56359                0 
[003] 19063.380770:      50024                0 
[002] 19063.381890:      54036                0 
[000] 19063.383831:      53427                0 
[001] 19063.391189:      53441                0 
[003] 19063.391789:      41001                0 
[000] 19063.393193:      47873                0 
[002] 19063.394379:      49776                0 
[003] 19063.401236:      38595                0 
[000] 19063.403604:      47704                0 
[002] 19063.404244:      44441                0 
[001] 19063.408116:      45939                0 
[003] 19063.411028:      37568                0 
[002] 19063.412602:      45001                0 
[000] 19063.413606:      41764                0 
[003] 19063.421833:      37568                0 
[002] 19063.422103:      45998                0 
[000] 19063.424274:      46660                0 
[001] 19063.425591:      44521                0 
[002] 19063.431711:      46408                0 
[000] 19063.432967:      45425                0 
[003] 19063.433902:      52397                0 
[002] 19063.442127:      53235                0 
[001] 19063.443635:      40112                0 
[000] 19063.450984:      45574                0 
[003] 19063.452236:      63226                0 
[002] 19063.454471:      57132                0 
[000] 19063.454662:      40704                0 
[001] 19063.459267:      32266                0 
[001] 19063.462375:      28926                0 
[000] 19063.464639:      41487                0 
[001] 19063.465458:      27605                0 
[002] 19063.466149:      66993                0 
[003] 19063.471091:      62441                0 
[001] 19063.474917:      40343                0 
[000] 19063.475988:      48958                0 
[003] 19063.481281:      71662                0 
[002] 19063.482684:      66993                0 
[001] 19063.484660:      53592                0 
[000] 19063.489286:      47696                0 
[003] 19063.492532:      78754                0 
[001] 19063.494485:      51424                0 
[000] 19063.499759:      44267                0 
[002] 19063.503134:      91165                0 
[001] 19063.504159:      52296                0 
[000] 19063.505943:      41655                0 
[003] 19063.506551:      91398                0 
[002] 19063.512637:      90088                0 
[000] 19063.513924:      41655                0 
[001] 19063.518486:      54103                0 
[003] 19063.526447:      90678                0 
[001] 19063.526736:      48505                0 
[000] 19063.527046:      63138                0 
[002] 19063.533686:     104356                0 
[001] 19063.541177:      53240                0 
[000] 19063.541846:      55786                0 
[001] 19063.550948:      44639                0 
[000] 19063.551505:      49795                0 
[003] 19063.552736:      83945                0 
[002] 19063.554107:      74971                0 
[000] 19063.558694:      53916                0 
[001] 19063.561266:      47497                0 
[002] 19063.564625:      53790                0 
[001] 19063.566738:      46324                0 
[000] 19063.567603:      55322                0 
[003] 19063.571692:      94284                0 
[002] 19063.573788:      56316                0 
[001] 19063.574192:      52208                0 
[000] 19063.580497:      55620                0 
[002] 19063.582918:      56162                0 
[001] 19063.584180:      56883                0 
[002] 19063.592000:      57506                0 
[003] 19063.593257:      80313                0 
[000] 19063.593332:      54111                0 
[001] 19063.593691:      61909                0 
[000] 19063.599461:      48172                0 
[002] 19063.602938:      58070                0 
[000] 19063.605967:      53574                0 
[001] 19063.607118:      62448                0 
[003] 19063.610377:      57879                0 
[002] 19063.613013:      58743                0 
[001] 19063.621463:      56159                0 
[000] 19063.622095:      57835                0 
[003] 19063.623522:      57879                0 
[002] 19063.624377:      57021                0 
[000] 19063.633608:      53345                0 
[002] 19063.633648:      51371                0 
[001] 19063.634055:      48128                0 
[003] 19063.643789:      57879                0 
[002] 19063.644089:      52956                0 
[000] 19063.644135:      50648                0 
[001] 19063.644667:      46238                0 
[002] 19063.654530:      56883                0 
[001] 19063.654830:      44366                0 
[000] 19063.656143:      55838                0 
[003] 19063.661612:      75962                0 
[001] 19063.667939:      44278                0 
[002] 19063.668702:      65986                0 
[000] 19063.669399:      53816                0 
[003] 19063.674222:      64097                0 
[001] 19063.674499:      40124                0 
[000] 19063.677975:      49427                0 
[003] 19063.684527:      71047                0 
[002] 19063.684551:      74972                0 
[000] 19063.685182:      52776                0 
[001] 19063.689362:      42694                0 
[000] 19063.693358:      50717                0 
[002] 19063.699861:      64239                0 
[001] 19063.701585:      41907                0 
[000] 19063.703618:      58762                0 
[003] 19063.707972:      63476                0 
[002] 19063.708073:      54767                0 
[000] 19063.713492:      54081                0 
[001] 19063.714296:      35579                0 
[002] 19063.714971:      58675                0 
[000] 19063.724324:      56273                0 
[001] 19063.724707:      35295                0 
[003] 19063.728387:      54110                0 
[001] 19063.731558:      33192                0 
[002] 19063.731974:      58864                0 
[000] 19063.734360:      54570                0 
[003] 19063.741805:      54710                0 
[001] 19063.743449:      38435                0 
[000] 19063.744576:      62108                0 
[002] 19063.745088:      51584                0 
[001] 19063.751987:      37568                0 
[001] 19063.755430:      36784                0 
[003] 19063.756515:      49808                0 
[002] 19063.757844:      47538                0 
[000] 19063.761231:      65844                0 
[003] 19063.765389:      49856                0 
[002] 19063.765420:      47207                0 
[001] 19063.765444:      36784                0 
[000] 19063.771592:      79732                0 
[002] 19063.774053:      43905                0 
[003] 19063.774816:      49856                0 
[001] 19063.779840:      53324                0 
[002] 19063.782604:      49934                0 
[000] 19063.784365:      77084                0 
[003] 19063.790971:      69436                0 
[001] 19063.793508:      47290                0 
[000] 19063.794140:      69727                0 
[001] 19063.801455:      42956                0 
[003] 19063.805863:      73078                0 
[002] 19063.810015:      47599                0 
[001] 19063.811337:      40739                0 
[000] 19063.814274:      70199                0 
[001] 19063.816642:      41941                0 
[002] 19063.817182:      43024                0 
[003] 19063.821816:      61047                0 
[001] 19063.824373:      51455                0 
[000] 19063.824726:      68256                0 
[002] 19063.827093:      45418                0 
[000] 19063.834021:      64447                0 
[003] 19063.834261:      50591                0 
[001] 19063.834516:      56416                0 
[002] 19063.839533:      43523                0 
[001] 19063.845377:      57409                0 
[003] 19063.847823:      45368                0 
[002] 19063.854038:      42978                0 
[000] 19063.854197:      69288                0 
[001] 19063.856268:      53878                0 
[003] 19063.859710:      41952                0 
[000] 19063.863915:      50356                0 
[002] 19063.864381:      56523                0 
[003] 19063.866329:      39616                0 
[001] 19063.870127:      53843                0 
[000] 19063.870678:      51575                0 
[003] 19063.872950:      42016                0 
[002] 19063.872985:      59123                0 
[000] 19063.880948:      57152                0 
[002] 19063.883489:      69700                0 
[003] 19063.883580:      46560                0 
[001] 19063.885484:      56385                0 
[003] 19063.893233:      48019                0 
[000] 19063.893925:      58779                0 
[002] 19063.894327:      69232                0 
[003] 19063.900175:      49634                0 
[001] 19063.901964:      47263                0 
[002] 19063.904297:      69157                0 
[003] 19063.913397:      59269                0 
[001] 19063.913622:      45841                0 
[002] 19063.914377:      67954                0 
[003] 19063.926747:      55598                0 
[000] 19063.929068:      42972                0 
[002] 19063.931212:      69663                0 
[001] 19063.934665:      56149                0 
[003] 19063.934776:      50819                0 
[000] 19063.936874:      35618                0 
[002] 19063.941396:      61321                0 
[000] 19063.944297:      37712                0 
[001] 19063.946659:      40295                0 
[003] 19063.950292:      49433                0 
[000] 19063.952001:      38945                0 
[001] 19063.953722:      36048                0 
[002] 19063.953881:      61453                0 
[003] 19063.958592:      59878                0 
[000] 19063.961264:      43959                0 
[001] 19063.963855:      39219                0 
[002] 19063.967413:      60337                0 
[000] 19063.971268:      45562                0 
[003] 19063.973237:      60721                0 
[001] 19063.974429:      42025                0 
[000] 19063.977823:      48021                0 
[002] 19063.978102:      52518                0 
[001] 19063.981943:      38530                0 
[000] 19063.990834:      52612                0 
[001] 19063.991805:      40981                0 
[003] 19063.993573:      54203                0 
[002] 19063.994323:      50312                0 
[002] 19064.001580:      40829                0 
[000] 19064.003007:      51922                0 
[001] 19064.006980:      43858                0 
[002] 19064.011379:      43243                0 
[000] 19064.011569:      43960                0 
[003] 19064.012880:      40289                0 
[002] 19064.016897:      46692                0 
[001] 19064.021263:      40098                0 
[002] 19064.024399:      55552                0 
[003] 19064.025673:      34047                0 
[001] 19064.031330:      33776                0 
[003] 19064.031564:      33136                0 
[000] 19064.034182:      46771                0 
[002] 19064.034402:      60454                0 
[001] 19064.041542:      34113                0 
[000] 19064.042643:      36120                0 
[003] 19064.043657:      33136                0 
[002] 19064.048761:      58139                0 
[000] 19064.051744:      36120                0 
[001] 19064.053971:      31087                0 
[003] 19064.054642:      45955                0 
[002] 19064.057955:      65636                0 
[001] 19064.061676:      31158                0 
