[002] K     14930.297500:      43697                0 
[000] U     14930.305803:      54122                0 
[003] U     14930.310834:      83186                0 
[001] U     14930.313019:      92832                0 
[002] K     14930.313417:      43555                0 
[000] U     14930.314669:      51783                0 
[002] U     14930.315837:      40617                0 
[000] U     14930.323058:      57038                0 
[002] K     14930.323276:      40617                0 
[003] U     14930.328517:      67020                0 
[001] U     14930.332854:      98470                0 
[000] U     14930.337296:      58217                0 
[002] U     14930.337670:      62723                0 
[003] K     14930.338059:      52846                0 
[003] U     14930.346990:      57225                0 
[001] K     14930.353236:      76693                0 
[002] U     14930.354570:      56178                0 
[000] K     14930.356013:      52791                0 
[001] U     14930.362799:      60217                0 
[002] U     14930.363677:      44750                0 
[000] K     14930.365259:      38340                0 
[003] U     14930.365599:      64375                0 
[001] U     14930.372219:      60217                0 
[000] U     14930.374248:      41295                0 
[003] U     14930.375633:      68599                0 
[002] U     14930.377001:      46979                0 
[000] U     14930.381432:      43456                0 
[001] K     14930.382945:      78058                0 
[003] K     14930.388018:      64905                0 
[002] U     14930.388561:      42095                0 
[000] U     14930.391549:      44854                0 
[001] U     14930.396153:      88092                0 
[002] U     14930.399575:      40332                0 
[000] U     14930.401877:      49005                0 
[003] U     14930.405414:      59744                0 
[000] U     14930.406665:      45682                0 
[003] K     14930.409637:      59744                0 
[002] U     14930.410196:      38354                0 
[001] U     14930.413032:     102877                0 
[000] U     14930.415292:      43934                0 
[002] U     14930.417060:      37673                0 
[000] K     14930.425051:      57691                0 
[002] U     14930.425533:      37744                0 
[002] U     14930.431991:      52693                0 
[000] U     14930.435484:      60956                0 
[001] U     14930.436043:     109637                0 
[003] K     14930.438048:      96234                0 
[000] K     14930.445031:      55142                0 
[002] K     14930.445328:      62743                0 
[001] K     14930.449028:      75928                0 
[000] U     14930.455569:      55992                0 
[003] K     14930.456441:      66683                0 
[002] U     14930.456611:      56495                0 
[001] U     14930.458335:      62132                0 
[000] U     14930.466343:      55957                0 
[002] K     14930.466618:      53589                0 
[001] U     14930.472421:      67256                0 
[000] U     14930.477468:      48724                0 
[003] K     14930.478917:      67108                0 
[001] U     14930.479108:      66818                0 
[002] U     14930.479197:      52635                0 
[002] U     14930.492932:      56495                0 
[001] U     14930.495459:      66873                0 
[000] K     14930.496719:      51038                0 
[003] U     14930.497311:      68526                0 
[000] U     14930.505906:      39930                0 
[002] U     14930.506352:      56495                0 
[001] U     14930.507067:      71247                0 
[000] K     14930.513772:      39088                0 
[001] U     14930.518211:      71247                0 
[000] K     14930.520001:      41592                0 
[003] K     14930.523216:      86332                0 
[000] U     14930.527533:      47961                0 
[001] U     14930.528299:      84746                0 
[002] U     14930.532794:      78419                0 
[000] U     14930.535724:      47655                0 
[000] U     14930.545655:      55837                0 
[001] U     14930.545670:      77097                0 
[003] K     14930.553444:      69604                0 
[000] U     14930.556251:      54093                0 
[001] U     14930.556650:      63389                0 
[002] U     14930.557221:      96167                0 
[003] U     14930.560891:      37506                0 
[000] U     14930.565608:      52557                0 
[001] U     14930.566454:      61782                0 
[003] U     14930.568446:      39835                0 
[002] K     14930.569140:      90629                0 
[001] U     14930.575874:      58934                0 
[000] K     14930.576622:      52986                0 
[003] U     14930.580456:      43601                0 
[002] U     14930.585933:      95225                0 
[001] U     14930.586664:      61733                0 
[000] U     14930.587112:      51648                0 
[003] U     14930.592906:      42679                0 
[000] U     14930.595851:      46006                0 
[001] K     14930.596603:      61564                0 
[003] U     14930.603293:      40445                0 
[000] U     14930.604521:      47143                0 
[002] U     14930.606581:      94359                0 
[001] U     14930.606787:      69890                0 
[003] U     14930.613793:      39608                0 
[000] K     14930.614304:      55522                0 
[001] K     14930.615899:      69384                0 
[000] U     14930.623297:      53147                0 
[003] U     14930.623801:      39300                0 
[002] U     14930.625607:     106451                0 
[001] U     14930.628300:      94434                0 
[000] K     14930.633689:      56505                0 
[003] U     14930.634030:      38403                0 
[002] U     14930.637541:      95348                0 
[001] U     14930.638966:      83798                0 
[000] K     14930.645034:      53320                0 
[003] K     14930.645904:      38341                0 
[003] U     14930.651548:      38747                0 
[001] U     14930.654944:      84449                0 
[000] U     14930.655644:      56146                0 
[002] U     14930.656866:      90144                0 
[003] K     14930.659412:      51346                0 
[001] U     14930.665538:      72210                0 
[000] K     14930.665788:      49255                0 
[002] U     14930.672245:      70543                0 
[000] U     14930.673432:      47238                0 
[001] K     14930.674279:      68863                0 
[003] U     14930.675522:      52456                0 
[003] U     14930.684677:      47102                0 
[001] U     14930.685363:      68879                0 
[000] K     14930.686646:      51878                0 
[003] U     14930.688103:      53587                0 
[002] U     14930.688719:      61700                0 
[001] U     14930.696086:      69277                0 
[000] U     14930.698106:      47614                0 
[003] K     14930.698131:      49085                0 
[002] U     14930.703612:      50118                0 
[000] K     14930.707968:      42137                0 
[003] U     14930.708691:      64625                0 
[001] U     14930.712270:      82667                0 
[002] U     14930.715112:      44186                0 
[000] U     14930.717574:      44080                0 
[000] U     14930.720812:      44232                0 
[002] K     14930.723424:      46817                0 
[003] U     14930.725640:      64729                0 
[001] U     14930.727764:      83410                0 
[000] U     14930.728544:      44232                0 
[002] U     14930.736261:      46896                0 
[001] U     14930.737779:      75175                0 
[003] K     14930.739150:      67635                0 
[002] U     14930.745673:      44512                0 
[000] K     14930.746118:      61055                0 
[001] U     14930.752860:      71791                0 
[002] U     14930.754133:      40894                0 
[003] K     14930.756244:      64211                0 
[000] K     14930.756413:      51417                0 
[002] U     14930.758815:      45971                0 
[001] K     14930.762839:      67532                0 
[000] K     14930.764879:      47620                0 
[003] U     14930.765578:      53251                0 
[003] U     14930.768739:      51413                0 
[002] U     14930.770448:      50841                0 
[001] U     14930.772809:      64043                0 
[000] U     14930.775348:      55914                0 
[001] U     14930.778621:      67376                0 
[003] K     14930.778951:      51413                0 
[000] K     14930.785731:      53104                0 
[002] U     14930.786409:      54916                0 
[001] K     14930.793067:      66740                0 
[003] U     14930.795540:      70671                0 
[000] K     14930.795797:      48728                0 
[002] U     14930.799032:      46005                0 
[001] K     14930.805883:      69763                0 
[000] U     14930.806060:      50100                0 
[003] U     14930.806501:      58876                0 
[002] U     14930.810744:      42236                0 
[001] U     14930.813341:      60370                0 
[000] K     14930.813350:      45987                0 
[003] U     14930.814219:      50008                0 
[003] K     14930.819266:      57994                0 
[000] U     14930.819861:      51632                0 
[002] U     14930.823059:      39933                0 
[001] K     14930.826036:      64987                0 
[000] K     14930.827697:      58413                0 
[002] K     14930.828911:      43854                0 
[003] U     14930.830048:      66555                0 
[001] K     14930.836675:      59721                0 
[002] U     14930.839070:      44392                0 
[003] U     14930.845598:      73297                0 
[000] K     14930.850095:      63994                0 
[002] U     14930.854130:      45695                0 
[001] U     14930.855639:      58546                0 
[003] U     14930.855714:      69846                0 
[002] U     14930.858001:      42269                0 
[001] U     14930.865965:      46625                0 
[000] U     14930.866750:      46234                0 
[003] U     14930.867458:      82842                0 
[002] U     14930.870331:      47661                0 
[000] K     14930.873378:      37328                0 
[001] K     14930.874270:      40934                0 
[003] U     14930.882810:      84733                0 
