[-01]  9550.935741:          1                0                0
[-01]  9550.935749:          1                0                0
[-01]  9550.935753:          1                0                0
[-01]  9550.935758:         17                0                0
[-01]  9550.935784:        496                0                0
[-01]  9550.936226:      13139                0                0
[-01]  9550.938372:      74172                0                0
[-01]  9550.940551:      76061                0                0
[-01]  9550.942627:      70991                0                0
[-01]  9550.944484:      62182                0                0
[-01]  9550.946266:      58159                0                0
[-01]  9550.947711:      52209                0                0
[-01]  9550.949259:      49350                0                0
[-01]  9550.950535:      45771                0                0
[-01]  9550.951758:      43749                0                0
[-01]  9550.953171:      42572                0                0
[-01]  9550.954324:      40664                0                0
[-01]  9550.955445:      39184                0                0
[-01]  9550.956551:      38540                0                0
[-01]  9550.957645:      38024                0                0
[-01]  9550.958728:      37128                0                0
[-01]  9550.959793:      36736                0                0
[-01]  9550.960865:      36390                0                0
[-01]  9550.962096:      35852                0                0
[-01]  9550.963132:      35557                0                0
[-01]  9550.964152:      34728                0                0
[-01]  9550.965170:      34583                0                0
[-01]  9550.966177:      34434                0                0
[-01]  9550.967192:      34364                0                0
[-01]  9550.968200:      34337                0                0
[-01]  9550.969202:      34280                0                0
[-01]  9550.970211:      34215                0                0
[-01]  9550.971212:      34214                0                0
[-01]  9550.972218:      34179                0                0
[-01]  9550.973221:      34179                0                0
[-01]  9550.974220:      34155                0                0
[-01]  9550.975229:      34145                0                0
[-01]  9550.976238:      34153                0                0
[-01]  9550.977241:      34120                0                0
[-01]  9550.978237:      34074                0                0
[-01]  9550.979236:      34068                0                0
[-01]  9550.980244:      34087                0                0
[-01]  9550.981246:      34097                0                0
[-01]  9550.982246:      34068                0                0
[-01]  9550.983250:      34063                0                0
[-01]  9550.984258:      34068                0                0
[-01]  9550.985257:      34059                0                0
[-01]  9550.986257:      34023                0                0
[-01]  9550.987260:      34033                0                0
[-01]  9550.988268:      34035                0                0
[-01]  9550.989266:      34029                0                0
[-01]  9550.990264:      33989                0                0
[-01]  9550.991265:      34001                0                0
[-01]  9550.992270:      34013                0                0
[-01]  9550.993269:      34014                0                0
[-01]  9550.994273:      34008                0                0
[-01]  9550.995277:      34019                0                0
[-01]  9550.996278:      34006                0                0
[-01]  9550.997277:      33993                0                0
[-01]  9550.998281:      33988                0                0
[-01]  9550.999284:      33994                0                0
[-01]  9551.000285:      33985                0                0
[-01]  9551.001281:      33976                0                0
[-01]  9551.002280:      33977                0                0
[-01]  9551.003281:      34000                0                0
[-01]  9551.004280:      34006                0                0
[-01]  9551.005278:      34007                0                0
[-01]  9551.006280:      34026                0                0
[-01]  9551.007284:      34040                0                0
[-01]  9551.008288:      34035                0                0
[-01]  9551.009285:      34024                0                0
[-01]  9551.010283:      34009                0                0
[-01]  9551.011286:      34030                0                0
[-01]  9551.012287:      34039                0                0
[-01]  9551.013291:      34036                0                0
[-01]  9551.014295:      34039                0                0
[-01]  9551.015302:      34027                0                0
[-01]  9551.016301:      34016                0                0
[-01]  9551.017297:      33992                0                0
[-01]  9551.018294:      33992                0                0
[-01]  9551.019300:      34013                0                0
[-01]  9551.020306:      34031                0                0
[-01]  9551.021305:      34014                0                0
[-01]  9551.022307:      33997                0                0
[-01]  9551.023310:      34004                0                0
[-01]  9551.024310:      34001                0                0
[-01]  9551.025314:      33993                0                0
[-01]  9551.026311:      33996                0                0
[-01]  9551.027311:      33985                0                0
[-01]  9551.028314:      34002                0                0
[-01]  9551.029313:      34006                0                0
[-01]  9551.030315:      33997                0                0
[-01]  9551.031321:      34008                0                0
[-01]  9551.032327:      34002                0                0
[-01]  9551.033323:      33982                0                0
[-01]  9551.034319:      33959                0                0
[-01]  9551.035324:      33979                0                0
[-01]  9551.036325:      34003                0                0
[-01]  9551.037323:      33985                0                0
[-01]  9551.038326:      33994                0                0
[-01]  9551.039334:      34006                0                0
[-01]  9551.040333:      33997                0                0
[-01]  9551.041330:      33970                0                0
[-01]  9551.042329:      33976                0                0
[-01]  9551.043328:      33995                0                0
[-01]  9551.044327:      34004                0                0
[-01]  9551.045330:      34013                0                0
[-01]  9551.046331:      34024                0                0
[-01]  9551.047339:      34019                0                0
[-01]  9551.048338:      34017                0                0
[-01]  9551.049333:      33989                0                0
[-01]  9551.050338:      34000                0                0
[-01]  9551.051337:      34025                0                0
[-01]  9551.052337:      34011                0                0
[-01]  9551.053336:      34017                0                0
[-01]  9551.054348:      34022                0                0
[-01]  9551.055338:      34033                0                0
[-01]  9551.056343:      33987                0                0
[-01]  9551.057346:      34033                0                0
[-01]  9551.058347:      34018                0                0
[-01]  9551.059353:      34011                0                0
[-01]  9551.060354:      34009                0                0
[-01]  9551.061347:      33993                0                0
[-01]  9551.062347:      33984                0                0
[-01]  9551.063350:      34017                0                0
[-01]  9551.064354:      34022                0                0
[-01]  9551.065351:      34017                0                0
[-01]  9551.066350:      34015                0                0
[-01]  9551.067359:      34031                0                0
[-01]  9551.068356:      34041                0                0
[-01]  9551.069354:      34009                0                0
[-01]  9551.070359:      34024                0                0
[-01]  9551.071359:      34039                0                0
[-01]  9551.072364:      34024                0                0
[-01]  9551.073361:      34027                0                0
[-01]  9551.074369:      34002                0                0
[-01]  9551.075371:      34023                0                0
[-01]  9551.076373:      33993                0                0
[-01]  9551.077364:      33988                0                0
[-01]  9551.078369:      33977                0                0
